@relation sdss-restas.dat-SOM_PACK-weka.filters.unsupervised.attribute.Standardize-unset-class-temporarily

@attribute resta1 numeric
@attribute resta2 numeric
@attribute resta3 numeric
@attribute resta4 numeric
@attribute class {QSO,WDA,WDB}

@data
0.013647,0.309719,0.13756,-1.691144,WDA
-0.373368,-0.685161,-0.684107,-0.198275,WDA
-0.252426,0.238656,0.575783,-0.549539,WDA
-0.083107,0.274187,0.411449,-0.022644,WDA
-0.566875,-0.720692,-0.957996,0.196896,WDA
-0.228237,0.09653,0.411449,0.240804,WDA
1.513328,0.913753,0.521005,1.16287,WDA
0.594169,0.522907,0.575783,0.021264,WDA
-0.421744,-0.010064,0.521005,-0.593447,WDA
-0.397556,-0.756224,-0.684107,0.372527,WDA
-0.204049,0.132062,0.192338,-1.471605,WDA
-0.736194,-1.182601,-1.396218,-0.329999,WDA
1.344009,0.913753,0.849672,0.152988,WDA
-0.010541,0.665033,0.685338,0.94333,WDA
0.908618,1.126941,1.507005,0.855514,WDA
-0.300802,0.274187,0.13756,0.284711,WDA
-0.204049,0.522907,0.521005,0.635975,WDA
0.521603,0.736096,0.904449,0.679883,WDA
-0.421744,-0.89835,-0.684107,-0.329999,WDA
0.618357,0.878221,0.904449,0.504251,WDA
-0.566875,0.34525,-0.136329,-0.461723,WDA
0.473227,0.629501,0.904449,0.592067,WDA
-0.421744,-0.010064,0.521005,0.152988,WDA
0.642545,0.949284,0.685338,0.328619,WDA
0.981183,0.984815,0.63056,-0.461723,WDA
-0.276614,0.34525,0.356671,0.592067,WDA
-0.736194,-1.360258,-1.231885,-0.461723,WDA
1.102125,1.126941,0.904449,-0.022644,WDA
1.247256,-0.187721,-1.889218,-2.481486,WDA
0.715111,0.416313,0.521005,0.811606,WDA
0.303908,0.060999,0.247116,0.723791,WDA
0.352285,0.274187,0.959227,0.065172,WDA
-0.736194,-0.969412,-1.067551,-0.505631,WDA
0.255531,0.238656,0.082782,0.416435,WDA
0.110401,-0.365378,-0.245884,0.10908,WDA
-0.228237,0.025467,0.028005,-1.252065,WDA
1.610082,1.446724,0.685338,0.635975,WDA
-0.760382,-1.040475,-1.34144,-0.681262,WDA
-0.058918,0.34525,0.794894,-0.198275,WDA
1.682647,1.517787,0.849672,0.416435,WDA
1.440763,1.411192,0.904449,-0.198275,WDA
0.690922,0.807158,0.959227,0.548159,WDA
0.449038,0.771627,0.740116,0.767698,WDA
0.642545,0.736096,0.685338,-2.349763,WDA
0.037835,0.558438,0.301894,1.953212,WDA
-0.470121,-0.933881,-0.35544,-0.022644,WDA
-0.615252,-1.076007,-0.84844,-0.769078,WDA
-0.518498,-0.89835,-0.84844,-0.593447,WDA
-0.591063,-0.933881,-1.286662,-0.461723,WDA
-0.542686,-1.218132,-0.793662,-1.55942,WDA
-0.857136,-1.360258,-1.012773,-0.72517,WDA
-0.736194,-1.111538,-1.177107,-0.242183,WDA
-0.663628,-1.360258,-1.286662,-0.549539,WDA
-0.663628,-1.076007,-1.286662,-0.637354,WDA
-0.687817,-1.111538,-0.903218,-0.681262,WDA
-0.591063,-1.182601,-0.903218,-0.681262,WDA
-0.63944,-1.040475,-1.012773,-0.72517,WDA
-0.63944,-1.076007,-1.067551,-0.72517,WDA
-0.49431,-1.182601,-1.177107,-0.637354,WDA
-0.663628,-1.360258,-1.067551,-0.812986,WDA
-0.736194,-1.076007,-1.067551,-0.681262,WDA
-0.542686,-1.360258,-1.286662,-1.076433,WDA
-0.663628,-0.969412,-0.629329,-0.94471,WDA
